['NO: ', 'qqvideo\\10.jpg', ' number: ', array(82.14881, dtype=float32)]
['NO: ', 'qqvideo\\100.jpg', ' number: ', array(142.3148, dtype=float32)]
['NO: ', 'qqvideo\\1000.jpg', ' number: ', array(131.30998, dtype=float32)]
['NO: ', 'qqvideo\\1005.jpg', ' number: ', array(165.87746, dtype=float32)]
['NO: ', 'qqvideo\\1010.jpg', ' number: ', array(155.54697, dtype=float32)]
['NO: ', 'qqvideo\\1015.jpg', ' number: ', array(130.53902, dtype=float32)]
['NO: ', 'qqvideo\\1020.jpg', ' number: ', array(135.53929, dtype=float32)]
['NO: ', 'qqvideo\\1025.jpg', ' number: ', array(141.06544, dtype=float32)]
['NO: ', 'qqvideo\\1030.jpg', ' number: ', array(159.36719, dtype=float32)]
['NO: ', 'qqvideo\\1035.jpg', ' number: ', array(151.01474, dtype=float32)]
['NO: ', 'qqvideo\\1040.jpg', ' number: ', array(153.50098, dtype=float32)]
['NO: ', 'qqvideo\\1045.jpg', ' number: ', array(163.55913, dtype=float32)]
['NO: ', 'qqvideo\\105.jpg', ' number: ', array(145.27676, dtype=float32)]
['NO: ', 'qqvideo\\1050.jpg', ' number: ', array(141.38106, dtype=float32)]
['NO: ', 'qqvideo\\1055.jpg', ' number: ', array(148.35599, dtype=float32)]
['NO: ', 'qqvideo\\1060.jpg', ' number: ', array(139.70857, dtype=float32)]
['NO: ', 'qqvideo\\1065.jpg', ' number: ', array(143.5378, dtype=float32)]
['NO: ', 'qqvideo\\1070.jpg', ' number: ', array(158.52771, dtype=float32)]
['NO: ', 'qqvideo\\1075.jpg', ' number: ', array(173.19998, dtype=float32)]
['NO: ', 'qqvideo\\1080.jpg', ' number: ', array(156.44913, dtype=float32)]
['NO: ', 'qqvideo\\1085.jpg', ' number: ', array(178.78398, dtype=float32)]
['NO: ', 'qqvideo\\1090.jpg', ' number: ', array(164.90477, dtype=float32)]
['NO: ', 'qqvideo\\1095.jpg', ' number: ', array(152.65038, dtype=float32)]
['NO: ', 'qqvideo\\110.jpg', ' number: ', array(139.34875, dtype=float32)]
['NO: ', 'qqvideo\\1100.jpg', ' number: ', array(154.98276, dtype=float32)]
['NO: ', 'qqvideo\\1105.jpg', ' number: ', array(165.17477, dtype=float32)]
['NO: ', 'qqvideo\\1110.jpg', ' number: ', array(143.75552, dtype=float32)]
['NO: ', 'qqvideo\\1115.jpg', ' number: ', array(135.83336, dtype=float32)]
['NO: ', 'qqvideo\\1120.jpg', ' number: ', array(142.21677, dtype=float32)]
['NO: ', 'qqvideo\\1125.jpg', ' number: ', array(150.95282, dtype=float32)]
['NO: ', 'qqvideo\\1130.jpg', ' number: ', array(134.92628, dtype=float32)]
['NO: ', 'qqvideo\\1135.jpg', ' number: ', array(140.29767, dtype=float32)]
['NO: ', 'qqvideo\\1140.jpg', ' number: ', array(153.5927, dtype=float32)]
['NO: ', 'qqvideo\\1145.jpg', ' number: ', array(147.9863, dtype=float32)]
['NO: ', 'qqvideo\\115.jpg', ' number: ', array(133.66853, dtype=float32)]
['NO: ', 'qqvideo\\1150.jpg', ' number: ', array(163.12816, dtype=float32)]
['NO: ', 'qqvideo\\1155.jpg', ' number: ', array(162.86589, dtype=float32)]
['NO: ', 'qqvideo\\1160.jpg', ' number: ', array(134.44531, dtype=float32)]
['NO: ', 'qqvideo\\1165.jpg', ' number: ', array(138.00797, dtype=float32)]
['NO: ', 'qqvideo\\1170.jpg', ' number: ', array(144.95834, dtype=float32)]
['NO: ', 'qqvideo\\1175.jpg', ' number: ', array(162.18791, dtype=float32)]
['NO: ', 'qqvideo\\1180.jpg', ' number: ', array(161.39565, dtype=float32)]
['NO: ', 'qqvideo\\1185.jpg', ' number: ', array(173.3207, dtype=float32)]
['NO: ', 'qqvideo\\1190.jpg', ' number: ', array(178.26718, dtype=float32)]
['NO: ', 'qqvideo\\1195.jpg', ' number: ', array(160.28624, dtype=float32)]
['NO: ', 'qqvideo\\120.jpg', ' number: ', array(129.4734, dtype=float32)]
['NO: ', 'qqvideo\\1200.jpg', ' number: ', array(155.84966, dtype=float32)]
['NO: ', 'qqvideo\\1205.jpg', ' number: ', array(185.21619, dtype=float32)]
['NO: ', 'qqvideo\\1210.jpg', ' number: ', array(178.8545, dtype=float32)]
['NO: ', 'qqvideo\\1215.jpg', ' number: ', array(171.37091, dtype=float32)]
['NO: ', 'qqvideo\\1220.jpg', ' number: ', array(168.54326, dtype=float32)]
['NO: ', 'qqvideo\\1225.jpg', ' number: ', array(158.50352, dtype=float32)]
['NO: ', 'qqvideo\\1230.jpg', ' number: ', array(137.30058, dtype=float32)]
['NO: ', 'qqvideo\\1235.jpg', ' number: ', array(154.30449, dtype=float32)]
['NO: ', 'qqvideo\\1240.jpg', ' number: ', array(148.9449, dtype=float32)]
['NO: ', 'qqvideo\\1245.jpg', ' number: ', array(157.2974, dtype=float32)]
['NO: ', 'qqvideo\\125.jpg', ' number: ', array(142.01535, dtype=float32)]
['NO: ', 'qqvideo\\1250.jpg', ' number: ', array(162.29015, dtype=float32)]
['NO: ', 'qqvideo\\1255.jpg', ' number: ', array(165.13788, dtype=float32)]
['NO: ', 'qqvideo\\1260.jpg', ' number: ', array(161.30258, dtype=float32)]
['NO: ', 'qqvideo\\1265.jpg', ' number: ', array(162.67584, dtype=float32)]
['NO: ', 'qqvideo\\1270.jpg', ' number: ', array(149.05997, dtype=float32)]
